Countries ;%GDP Agriculture2007;%GDP Industry2007;%GDP Services2007;Children Per Women2007;Cumulative CO2 Emissions2007;Democracy Score2007;Energy Use Total2007;Extreme Poverty headcount ratio at $1.25 a day (PPP) (% of population)2007;GDP Per Capita2007;GDP Total2007;HDI2007;Life Expectancy2007;Murders Total Deaths2007;Population Density2007;Population Total2007;Poverty headcount ratio at $2 a day (PPP) (% of population)2007;Working Hours per Week2007
abkhazia;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
afghanistan;34.4948;25.8185;39.6867;6.4560;78734333.3346;X;X;X;X;X;0.3630;58.1020;813.0000;44.6960;29145841.0000;X;X
akrotiri and dhekelia;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
albania;21.1173;19.6648;59.2180;1.7960;227322333.3366;9.0000;2050135.0000;X;1681.6139;5330152753.1978;0.7290;76.2780;208.0000;110.2570;3169665.0000;X;X
algeria;8.0253;61.2830;30.6916;2.6560;2814925666.6506;2.0000;36823318.0000;X;2155.4852;73085186314.0081;0.6800;70.1800;3102.0000;14.2360;33906605.0000;X;X
american samoa;X;X;X;X;X;X;X;X;X;X;X;X;X;327.2860;65130.0000;X;X
andorra;X;X;X;X;6629333.3332;X;X;X;21495.8051;1749543575.6836;X;X;1.0000;173.9100;81390.0000;X;X
angola;7.8603;66.5661;25.5741;6.5230;305605666.6777;-2.0000;10968137.0000;X;562.9877;21674668197.0876;0.4710;49.4710;6226.0000;14.0570;17525367.0000;X;X
anguilla;X;X;X;X;421666.6667;X;X;X;X;X;X;X;X;158.1650;14393.0000;X;X
antigua and barbuda;1.9391;20.9678;77.1317;2.1830;16661333.3336;X;146000.0000;X;13495.1275;1009354031.6434;X;74.9100;6.0000;194.4230;85935.0000;X;X
argentina;9.3949;33.7362;56.8689;2.2540;6011268999.9977;8.0000;73672983.0000;2.7100;9388.6885;369614509410.5460;0.7800;75.2250;2596.0000;14.1590;39368066.0000;5.4600;X
armenia;20.2821;43.9088;35.8091;1.4000;56686666.6670;5.0000;2845324.0000;3.4600;1424.1906;4378219566.0441;0.7150;73.9200;100.0000;103.1600;3074181.0000;20.5100;X
aruba;X;X;X;1.7390;37854666.6673;X;X;X;X;X;X;74.6210;X;579.0280;104225.0000;X;X
australia;2.3673;20.2806;77.3521;1.9200;13351785333.4566;10.0000;119755172.0000;X;24765.5489;522729696644.7000;0.9220;81.6700;253.0000;2.7280;21119988.0000;X;33.1096
austria;1.7462;29.8614;68.3925;1.3790;4567625333.3624;10.0000;33389497.0000;X;27036.4873;224424149682.1380;0.8700;80.3000;63.0000;99.0940;8309783.0000;X;31.7613
azerbaijan;7.0022;68.4945;24.5034;1.9890;574372333.3500;-7.0000;12116460.0000;X;1945.6375;16696099500.1853;X;69.8410;235.0000;101.8590;8821012.0000;X;X
bahamas;2.3267;13.4177;84.2556;1.8760;140473666.6683;X;709000.0000;X;21721.6184;7143393151.8582;0.7700;74.2160;72.0000;23.6970;328861.0000;X;X
